Offset,Length,Type,Text
0x19AF4,2,code,ヒ
0x19B00,2,code,ひ
0x19B0C,2,code,フ
0x19B18,2,code,ふ
0x19B24,2,code,ヘ
0x19B30,2,code,へ
0x19B3C,2,code,ホ
0x19B48,2,code,ほ
0x19B54,2,code,マ
0x19B60,2,code,ま
0x19B6C,2,code,ミ
0x19B78,2,code,み
0x19B84,2,code,ム
0x19B90,2,code,む
0x19B9C,2,code,メ
0x19BA8,2,code,め
0x19BB4,2,code,モ
0x19BC0,2,code,も
0x19BCC,2,code,ヤ
0x19BD8,2,code,や
0x19BE4,2,code,ユ
0x19BF0,2,code,ゆ
0x19BFC,2,code,ヨ
0x19C08,2,code,よ
0x19C14,2,code,ラ
0x19C20,2,code,ら
0x19C2C,2,code,リ
0x19C38,2,code,り
0x19C44,2,code,ル
0x19C50,2,code,る
0x19C5C,2,code,レ
0x19C68,2,code,れ
0x19C74,2,code,ロ
0x19C80,2,code,ろ
0x19C8C,2,code,ワ
0x19C98,2,code,わ
0x19CA4,2,code,ヲ
0x19CB0,2,code,を
0x19CBC,2,code,ン
0x19CC8,2,code,ん
0x19CD4,2,code,ャ
0x19CE0,2,code,ゃ
0x19CEC,2,code,ュ
0x19CF8,2,code,ゅ
0x19D04,2,code,ョ
0x19D10,2,code,ょ
0x19D1C,2,code,ッ
0x19D28,2,code,っ
0x19D34,2,code,ァ
0x19D40,2,code,ぁ
0x19D4C,2,code,ィ
0x19D58,2,code,ぃ
0x19D64,2,code,ゥ
0x19D70,2,code,ぅ
0x19D7C,2,code,ェ
0x19D88,2,code,ぇ
0x19D94,2,code,ォ
0x19DA0,2,code,ぉ
0x19DAC,2,code,ガ
0x19DB8,2,code,が
0x19DC4,2,code,ギ
0x19DD0,2,code,ぎ
0x19DDC,2,code,グ
0x19DE8,2,code,ぐ
0x19DF4,2,code,ゲ
0x19E00,2,code,げ
0x19E0C,2,code,ゴ
0x19E18,2,code,ご
0x19E24,2,code,ザ
0x19E30,2,code,ざ
0x19E3C,2,code,ジ
0x19E48,2,code,じ
0x19E54,2,code,ズ
0x19E60,2,code,ず
0x19E6C,2,code,ゼ
0x19E78,2,code,ぜ
0x19E84,2,code,ゾ
0x19E90,2,code,ぞ
0x19E9C,2,code,ダ
0x19EA8,2,code,だ
0x19EB4,2,code,ヂ
0x19EC0,2,code,ぢ
0x19ECC,2,code,ヅ
0x19ED8,2,code,づ
0x19EE4,2,code,デ
0x19EF0,2,code,で
0x19EFC,2,code,ド
0x19F08,2,code,ど
0x19F14,2,code,バ
0x19F20,2,code,ば
0x19F2C,2,code,ビ
0x19F38,2,code,び
0x19F44,2,code,ブ
0x19F50,2,code,ぶ
0x19F5C,2,code,ベ
0x19F68,2,code,べ
0x19F74,2,code,ボ
0x19F80,2,code,ぼ
0x19F8C,2,code,パ
0x19F98,2,code,ぱ
0x19FA4,2,code,ピ
0x19FB0,2,code,ぴ
0x19FBC,2,code,プ
0x19FC8,2,code,ぷ
0x19FD4,2,code,ペ
0x19FE0,2,code,ぺ
0x19FEC,2,code,ポ
0x19FF8,2,code,ぽ
0x1A948,2,code,あ
0x1A954,2,code,さ
0x1A960,2,code,が
0x1A96C,2,code,ガ
0x1A978,2,code,い
0x1A984,2,code,し
0x1A990,2,code,ぎ
0x1A99C,2,code,ギ
0x1A9A8,2,code,う
0x1A9B4,2,code,す
0x1A9C0,2,code,ぐ
0x1A9CC,2,code,グ
0x1A9D8,2,code,え
0x1A9E4,2,code,せ
0x1A9F0,2,code,げ
0x1A9FC,2,code,ゲ
0x1AA08,2,code,お
0x1AA14,2,code,そ
0x1AA20,2,code,ご
0x1AA2C,2,code,ゴ
0x1AA38,2,code,か
0x1AA44,2,code,な
0x1AA50,2,code,わ
0x1AA5C,2,code,バ
0x1AA68,2,code,き
0x1AA74,2,code,に
0x1AA80,2,code,ビ
0x1AA8C,2,code,く
0x1AA98,2,code,ぬ
0x1AAA4,2,code,ブ
0x1AAB0,2,code,け
0x1AABC,2,code,ね
0x1AAC8,2,code,ベ
0x1AAD4,2,code,こ
0x1AAE0,2,code,の
0x1AAEC,2,code,ボ
0x1AAF8,2,code,た
0x1AB04,2,code,ざ
0x1AB10,2,code,ば
0x1AB1C,2,code,ダ
0x1AB28,2,code,ち
0x1AB34,2,code,び
0x1AB40,2,code,ヂ
0x1AB4C,2,code,つ
0x1AB58,2,code,ぶ
0x1AB64,2,code,ヅ
0x1AB70,2,code,て
0x1AB7C,2,code,べ
0x1AB88,2,code,デ
0x1AB94,2,code,と
0x1ABA0,2,code,ぼ
0x1ABAC,2,code,ド
0x1ABB8,2,code,は
0x1ABC4,2,code,だ
0x1ABD0,2,code,ザ
0x1ABDC,2,code,ひ
0x1ABE8,2,code,ぢ
0x1ABF4,2,code,じ
0x1AC00,2,code,ジ
0x1AC0C,2,code,ふ
0x1AC18,2,code,づ
0x1AC24,2,code,ず
0x1AC30,2,code,ズ
0x1AC3C,2,code,へ
0x1AC48,2,code,で
0x1AC54,2,code,ぜ
0x1AC60,2,code,ゼ
0x1AC6C,2,code,ほ
0x1AC78,2,code,ど
0x1AC84,2,code,ぞ
0x1AC90,2,code,を
0x1AC9C,2,code,ゾ
0x1ACA8,2,code,ま
0x1ACB4,2,code,ラ
0x1ACC0,2,code,み
0x1ACCC,2,code,リ
0x1ACD8,2,code,む
0x1ACE4,2,code,ル
0x1ACF0,2,code,め
0x1ACFC,2,code,レ
0x1AD08,2,code,も
0x1AD14,2,code,ロ
0x1AD20,2,code,や
0x1AD2C,4,code,ジャ
0x1AD3C,2,code,ゆ
0x1AD48,4,code,ジュ
0x1AD58,2,code,よ
0x1AD64,4,code,ジョ
0x1AD74,2,code,ら
0x1AD80,2,code,サ
0x1AD8C,2,code,り
0x1AD98,2,code,シ
0x1ADA4,2,code,る
0x1ADB0,2,code,ス
0x1ADBC,2,code,れ
0x1ADC8,2,code,セ
0x1ADD4,2,code,ろ
0x1ADE0,2,code,ソ
0x1ADEC,2,code,ぱ
0x1ADF8,2,code,マ
0x1AE04,2,code,ぴ
0x1AE10,2,code,ミ
0x1AE1C,2,code,ぷ
0x1AE28,2,code,ム
0x1AE34,2,code,ぺ
0x1AE40,2,code,メ
0x1AE4C,2,code,ぽ
0x1AE58,2,code,モ
0x1AE64,2,code,ぁ
0x1AE70,2,code,ァ
0x1AE7C,2,code,ぃ
0x1AE88,2,code,ィ
0x1AE94,2,code,ぅ
0x1AEA0,2,code,ゥ
0x1AEAC,2,code,ぇ
0x1AEB8,2,code,ェ
0x1AEC4,2,code,ぉ
0x1AED0,2,code,ォ
0x1AEDC,2,code,ゃ
0x1AEE8,2,code,ャ
0x1AEF4,2,code,ゅ
0x1AF00,2,code,ュ
0x1AF0C,2,code,ょ
0x1AF18,2,code,ョ
0x1AF24,2,code,っ
0x1AF30,2,code,ッ
0x1AF3C,2,code,ん
0x1AF48,2,code,ン
0x1AF54,2,code,ー
0x1AF60,4,code,ズァ
0x1BB50,2,code,あ
0x1BB5C,2,code,い
0x1BB68,2,code,う
0x1BB74,2,code,え
0x1BB80,2,code,お
0x1BB8C,2,code,か
0x1BB98,2,code,き
0x1BBA4,2,code,く
0x1BBB0,2,code,け
0x1BBBC,2,code,こ
0x1BBC8,2,code,さ
0x1BBD4,2,code,し
0x1BBE0,2,code,す
0x1BBEC,2,code,せ
0x1BBF8,2,code,そ
0x1BC04,2,code,た
0x1BC10,2,code,ち
0x1BC1C,2,code,つ
0x1BC28,2,code,て
0x1BC34,2,code,と
0x1BC40,2,code,な
0x1BC4C,2,code,に
0x1BC58,2,code,ぬ
0x1BC64,2,code,ね
0x1BC70,2,code,の
0x1BC7C,2,code,は
0x1BC88,2,code,ひ
0x1BC94,2,code,ふ
0x1BCA0,2,code,へ
0x1BCAC,2,code,ほ
0x1BCB8,2,code,ま
0x1BCC4,2,code,み
0x1BCD0,2,code,む
0x1BCDC,2,code,め
0x1BCE8,2,code,も
0x1BCF4,2,code,や
0x1BD00,2,code,ゆ
0x1BD0C,2,code,よ
0x1BD18,2,code,ら
0x1BD24,2,code,り
0x1BD30,2,code,る
0x1BD3C,2,code,れ
0x1BD48,2,code,ろ
0x1BD54,2,code,わ
0x1BD60,2,code,を
0x1BD6C,2,code,ん
0x1BD78,2,code,っ
0x1BD84,2,code,ゃ
0x1BD90,2,code,ゅ
0x1BD9C,2,code,ょ
0x1BDA8,2,code,ぁ
0x1BDB4,2,code,ぃ
0x1BDC0,2,code,ぅ
0x1BDCC,2,code,ぇ
0x1BDD8,2,code,ぉ
0x1BDE4,2,code,ー
0x1BDF0,2,code,が
0x1BDFC,2,code,ぎ
0x1BE08,2,code,ぐ
0x1BE14,2,code,げ
0x1BE20,2,code,ご
0x1BE2C,2,code,ざ
0x1BE38,2,code,じ
0x1BE44,2,code,ず
0x1BE50,2,code,ぜ
0x1BE5C,2,code,ぞ
0x1BE68,2,code,だ
0x1BE74,2,code,ぢ
0x1BE80,2,code,づ
0x1BE8C,2,code,で
0x1BE98,2,code,ど
0x1BEA4,2,code,ば
0x1BEB0,2,code,び
0x1BEBC,2,code,ぶ
0x1BEC8,2,code,べ
0x1BED4,2,code,ぽ
0x1BEE0,2,code,ぼ
0x1BEEC,2,code,ぱ
0x1BEF8,2,code,ぴ
0x1BF04,2,code,ぷ
0x1BF10,2,code,ぺ
0x5F4EC,18,code,今天·明天天气
0x5F508,19,code,一周天气预报</font>
0x5F524,15,code,降水概率</font>
0x5F53C,11,code,气温</font>
0x5F550,11,code,日期</font>
0x5F564,11,code,天气</font>
0x5F594,2,code,～
0x5F5A0,2,code,◆
0x5F5AC,6,code,天气：
0x5F5BC,6,code,气温：
0x5F5CC,10,code,降水概率：
0x5F5E0,9,code,00-06时  
0x5F5F4,9,code,06-12时  
0x5F608,9,code,12-18时  
0x5F61C,9,code,18-24时  
0x609CC,4,code,讨厌
0x609DC,12,code,并不讨厌
0x609F4,2,code,い
0x60A00,6,code,不
0x60A10,2,code,る
0x60A1C,4,code,不
0x60A2C,8,code,不是
0x60ADC,2,code,い
0x60AE8,2,code,く
0x60AF4,2,code,に
0x60BC8,2,code,い
0x60BD4,2,code,す
0x60BE0,2,code,る
0x60DE4,4,code,被
0x60DF4,4,code,感觉
0x60E04,6,code,不知
0x60E14,2,code,る
0x60E20,4,code,不
0x60E30,2,code,う
0x60E3C,6,code,不
0x60E4C,2,code,ぬ
0x60E58,6,code,不
0x60E68,2,code,す
0x60E74,6,code,不
0x60E84,6,code,不
0x610BC,2,code,る
0x610C8,6,code,能
0x610D8,6,code,被
0x610E8,2,code,う
0x610F4,6,code,会
0x61104,6,code,被
0x61114,2,code,す
0x61120,6,code,被
0x61130,6,code,被
0x612F0,4,code,在
0x61300,4,code,能
0x61310,4,code,会
0x61320,2,code,る
0x6132C,2,code,う
0x61338,2,code,す
0x61344,2,code,く
0x61350,2,code,つ
0x6135C,4,code,
0x622A0,15,code,宋体
0x6236C,15,code,宋体
0x63168,27,code,\0\s0记录完成……\w8\w8好。
0x6336C,47,code,\t\0\s0嘛，跟备忘录差不多呢……\w8\w8\n\n
0x633A4,41,code,\1\s0虽然就这点功能，但还挺方便的。\w8\w8
0x633D8,42,code,\0\n\n嗯。\w8\w8\n\n注意事项是\w8\w8\n\n
0x6340C,66,code,%*选中根（写着 Todo 的部分）开始输入即为新增\w8\n
0x63458,25,code,%*除此之外均视为修改\w8\n
0x6347C,29,code,%*操作以键盘为主\w8\n\n
0x634A4,24,code,\w8\w8大概就这些。\w8\w8
0x634C8,46,code,\1\n\n为什么操作以键盘为主啊。\w8\w8
0x63500,59,code,\0\s8\n\n哎呀……\w8\w8因为用鼠标什么的太麻烦了。\w8\w8
0x63544,40,code,\1\n\n……\w8\w8总有一天会被捅的。\w8\w8
0x63578,75,code,\0\s[20]\n\nEnter 确定，DEL 删除。\w8\w8\n\s0这点总可以做到吧。
0x635F0,10,code,消息
0x63E4C,4,code,每周
0x63E5C,5,code, 
0x6441C,27,code,\0\s0记录完成……\w8\w8好。
0x64554,101,code,\t\0\s0基本上，就是指定时间，到了时间就弹出消息通知，这么个功能。\w8\w8
0x645C4,90,code,\1\s0指定日期，或者指定星期。\w8\n\n两个都指定的话房子会烧起来的，注意点哦。\w8\w8
0x64628,26,code,\0\n\n注意事项是\w8\w8\n\n
0x6464C,68,code,%*选中根（写着 Notify 的部分）开始输入即为新增\w8\n
0x6469C,25,code,%*除此之外均视为修改\w8\n
0x646C0,44,code,%*输入「*」后，该部分将变为「每」\w8\n
0x646F8,37,code,%*除了消息外，还可以执行文件\w8\n
0x64728,23,code,%*数字仅限半角\w8\n\n
0x64748,33,code,%*星期用「日一二三四五六」\w8\n\n
0x64774,29,code,%*时间用24小时制表述\w8\n\n
0x6479C,29,code,%*操作以键盘为主\w8\n\n
0x647C4,24,code,\w8\w8大概就这些。\w8\w8
0x647E8,46,code,\1\n\n为什么操作以键盘为主啊。\w8\w8
0x64820,59,code,\0\s8\n\n哎呀……\w8\w8因为用鼠标什么的太麻烦了。\w8\w8
0x64864,40,code,\1\n\n……\w8\w8总有一天会被捅的。\w8\w8
0x64898,75,code,\0\s[20]\n\nEnter 确定，DEL 删除。\w8\w8\n\s0这点总可以做到吧。
0x64AC0,15,code,\0\s0添加完成。
0x64AFC,10,code,消息
0x64B34,18,code,时间条件（* 为每）
0x64B74,51,code,可执行文件的完整路径（可通过拖放文件输入）
0x653E8,51,code,\0\s1唔。\w8\w8数量真多啊。\w8\w8\n\n\s[20]
0x65424,22,code,……\w8\w8好。\w8\w8
0x65458,10,code,\n\n哟。
0x65480,12,code,面骰子
0x65498,24,code,颗……\w8\w8好。\w8\w8
0x65690,179,code,\0\s0也就是所谓的骰子……\w8\w8吧。\w8\w8\1\s0是骰子呢。\w8\w8\0\n\n基本上就是在编辑框里输入骰子表达式，然后按 Enter 即可。\w8\w8\n\n比如 2d6+10 之类的，还可以进行加减运算哦。
0x66A08,5,code,宋体
0x66AE4,5,code,宋体
0x67C70,5,pchar,宋体
0x67F60,5,code,宋体
0x67F88,5,pchar,宋体
0x688E0,38,code,"\![leave,passivemode]\0\s0设置完成。"
0x68A1C,257,code,"\0\s0只有一个注意事项。\w8\w8\n\nWin9x 缺少在桌面上进行透明绘制的功能，因此没法像\w8\_b[correctimage.png,20,65]\w8\n\n\n\n\n\n\n这样显示得这么漂亮。\w8\w8\n\n这也是没办法的事，请放弃吧。\w8\w8\1\s0就当能看见已经很不错了。"
0x6A98C,22,code,传授网游礼仪
0x6A9AC,20,code,哈啊 (*'Д｀*) 哈啊
0x6A9CC,36,code,得意洋洋地批判史克威尔的游戏
0x6A9FC,10,code,新机动战记
0x6AA10,58,code,「现实中不行的人网上也不行」之类老生常谈的说教
0x6AA54,46,code,教微软怎么卖 XBox
0x6AA8C,22,code,深受时下年轻人的欢迎
0x6AAAC,20,code,哈啊 (*゜Д゜*) 哈啊
0x6AAEC,14,code,互联网
0x6AB28,14,code,浏览器
0x6AB40,24,code,小林胜代浏览器
0x6AB64,25,code,互联网好痒 好吃
0x6AB88,84,code,回复时，请留出一些时间，考虑被回复者的感受。
0x6ABE8,85,code,在作为公共平台提供的BBS上，那些无法对自己发言负责的人所发表的言论，会给他人造成困扰。
0x6AC48,28,code,最近的新人礼仪真差。
0x6AC70,40,code,与服务器的连接已取消。
0x6ACA4,34,code,毕竟还是β版，不喜欢不玩就是了。
0x6ACD0,24,code,毕竟还是β版，没办法。
0x6ACF4,44,code,我提醒对方违反礼仪了，结果反倒被骂了一顿。
0x6AD2C,90,code,听说韩服要加强对不文明行为的处罚，因此日服也有可能跟进。
0x6AD90,26,code,老外真没礼貌啊。
0x6ADB4,47,code,斐扬洞穴那里好像有很多恶意抢怪的人。
0x6ADEC,82,code,无论是新玩家还是转服过来的玩家，请不要做给他人添麻烦的行为，大家一起愉快地游玩吧～
0x6AE48,30,code,增加的净是些抢怪的人，笑
0x6AE70,126,code,我正玩盗贼和石锤巨人单挑呢，突然一个新手乱入进来，我都懒得说话，直接下线了☆还是从姐姐这儿重新练起吧~
0x6AEF8,94,code,死了又死还一遍遍跑过来，还继续在那里恶意抢怪，所以我就稍微跟踪了一下笑
0x6AF60,64,code,恶意抢怪这种事很难拿出证据，所以不好向重力社官方反映。怎么办呢。
0x6AFAC,125,code,PK 这事说白了，放现实世界里不就是杀人吗。就算是在游戏世界里，我也不认为这是应该干的事。
0x6B034,82,code,如果这样被视作污染版块，我会克制自己不再发帖。
0x6B090,124,code,如果遇到此类行为，请连带截图一起发送邮件。当投诉累积到一定程度时，我们将对该账号进行警告至封号处理
0x6B118,42,code,讲别人坏话是不可以的！这是最低劣的行为！
0x6B14C,102,code,如果你是网络游戏的新手，我认为这是好好学习各种礼仪的好机会。
0x6B1BC,64,code,和有礼貌的人一起玩，自然能养成好的礼仪。
0x6B208,56,code,就算是β版，什么都让用户自己去处理，我觉得也不太合适吧。
0x6B24C,92,code,说到底，我根本看不出讨论这个有什么意义。过去这种问题也被提过很多次，但从来没得出过结论。
0x6B2B4,94,code,与其在这里发帖，不如去征集签名，向重力社情愿「废除抢怪」更实在。
0x6B31C,272,code,进版前你有好好看过注意事项吗？对个人的中伤、谩骂、歧视性发言都是禁止的。别人犯了错，干嘛非要句句带刺地去指责呢？这里是讨论的地方，不是戴着面具互相攻击的地方。别把这里的氛围搞坏了。
0x6B438,137,code,说别人是囤积厨的那种人，请回2ch去吧。这里不是您该来的地方。既然来了这里，就请发表符合本BBS规矩的言论。
0x6B4CC,40,code,未经同意就去援护、共斗，全都算作抢怪。
0x6B500,110,code,反对抢怪的人，与其有空在这里发帖，不如用那宝贵的时间去找下一只怪，这样还更快呢
0x6B578,87,code,未经当事人同意的援护/共斗，全都算作抢怪行为哦。我一直是这么提醒的。
0x6B5D8,78,code,斐扬洞穴伸手党和抢怪的新人越来越多了。
0x6B630,82,code,我不是想说别惯着新手，但还是希望他们至少能遵守最基本的礼仪。
0x6B68C,134,code,还有，那些说抢怪和捡漏又没被禁止、也没规定处罚所以做了也没关系的人，你们不适合玩MMORPG。
0x6B71C,102,code,不是已经有类似的帖子了吗？好好看啊，蠢货…。说话有点难听不好意思，但最近这种没脑子的家伙实在太多了。
0x6B78C,110,code,有人自愿来帮忙引导，我本来很感激的，但真没想到居然会被命令、威胁
0x6B804,41,code,不好好排队就DoS攻击你哦！
0x6B838,34,code,不好好排队就曝你名字哦！
0x6B864,44,code,还有，别老是抢我们猎物！！
0x6B89C,26,code,兽人森林里的那帮人……
0x6B8C0,22,code,撒饵引怪的那帮人……
0x6B8E0,26,code,城门口的人太多了……
0x6B904,66,code,请避免抢怪、抢掉落物等给他人添麻烦的各种无礼行为。
0x6B950,188,code,我当年还是新手的时候，在吉芬不知道撒饵引怪这种事，看到魔法师旁边掉的道具以为没人要，就一股脑全捡走了，结果被吼了一句「别拿啊！！」当时感觉特别不爽……。
0x6BA18,70,code,现在还是测试版，所以也不好抱怨什么(毕竟又没花钱)
0x6BA68,40,code,真希望能引入禁止抢怪的系统啊～
0x6BA9C,39,code,日版只要改成RagnarokOffline就万事大吉了
0x6BACC,122,code,恳请您在行动前能够考虑到，您为自保所采取的行动，可能会造成他人死亡
0x6BB50,72,code,从这个帖子的第一句起重新读一遍吧。真是越低能的人越喜欢用说真的这种词……
0x6BBA4,64,code,那些不考虑别人、擅自把某地当作单人职业的刷钱点的人最差劲了
0x6BBF0,106,code,现在毕竟还是β阶段嘛，大家就先忍忍吧。我相信等正式版出来后，肯定会有更多好副本的哦
0x6BC64,51,code,我也赞成，我觉得这个游戏不需要 PK。
0x6BCA0,35,code,请移步可以 PK 的游戏吧(笑)
0x6BCCC,36,code,真希望能早日实装PK啊——。(笑)
0x6BCFC,76,code,我昨天也为了猫耳跑了趟狸山，但被那里的缺德行为搞无语了。
0x6BD54,143,code,确实，对方可能先做出了无礼行为。但是，用同样无礼的MPK来报复，这并不能算作「正确」的行为哦。
0x6BDEC,104,code,最近总觉得，人多了、热闹起来了是好事，但与此同时是不是莫名也变得有些气氛紧张了？
0x6BE60,70,code,总之，「不要动别人的猎物！！」这应该是最基本的礼仪吧。
0x6BEB0,2,code,と
0x6BEBC,4,code,与我
0x6BECC,14,code,性、谎言、
0x6BEE4,16,code,和崩溃的父亲
0x6BF00,4,code,地藏
0x6BF10,4,code,大名
0x6BF20,10,code,香肠
0x6BF34,12,code,光束发射！
0x6BF4C,38,code,那在樱屋卖得更便宜哦。
0x6BF7C,4,code,的狗
0x6BF8C,10,code,的父亲。
0x6BFA0,2,code,病
0x6BFAC,24,code,在装懂好烦
0x6BFD0,37,code,被抢怪用MPK报复
0x6C000,18,code,是我的…我哥！
0x6C01C,63,code,每天玩几小时网游后说「忙死了没时间」
0x6C064,32,code,是生活被网游支配的类型
0x6C090,19,code,便宜得像心跳回忆3
0x6C0AC,8,code,传说巨神
0x6C0C0,14,code,飞天御剑流奥义
0x6C0D8,8,code,机动战士
0x6C0EC,61,code,说到底，不过是 MS-DOS 为了模仿 Mac 而浓妆艳抹的产物！
0x6C134,28,code,没有比这更难用的了！
0x6C15C,42,code,用那玩意的人都是受虐狂吧。所以那
0x6C190,15,code,不是，是 SM-
0x6C1A8,10,code, 吧！
0x6C1BC,86,code,所以说，很多人只是不知道有 Mac 这个优秀的系统就
0x6C21C,82,code,在受苦可以说是二十世纪的悲剧之一，藤村你也是其中之一啊。
0x6C278,2,code,「
0x6C284,69,code,」虽然闹得沸沸扬扬，但连5年前的 Mac 都没追上哦！
0x6C2F8,3,code,式 
0x6C304,15,code,双座型突击规格M
0x6C31C,54,code,the end of genesis T.M.R evolution turbo type D 的构想
0x6E86C,5,pchar,宋体
0x6F3E4,92,code,\0\s0所谓的AS技术，是多年前一家名为 CompJapan 的公司所开发的技术……\w8\w8\n\n
0x6F44C,146,code,\s7没想到！\w8\w8\s5在for循环中毫无意义地反复进行加减运算，竟然能优化内存，从而使机器运行得更快，这可真是一项了不起的技术！\w8\w8
0x6F4E8,138,code,\1\s0……\w8\w8\w8不过，话说回来，\w8那根本就是诈骗吧。\w8\w8\0\s5\n\n乌纽别多嘴！\w8\w8\n\n详情请看这个网站。
0x6F57C,63,code,"\![open,browser,https://ja.wikipedia.org/wiki/CompJapan]"
0x6F988,10,code,用户桑
0x6FA80,184,code,\0\s[20]啊……\w8\w8是吗。\w8\w8\n\n\s0今天是当天啊……\w8\w8\1\s0是当天呢。\w8\w8\w8\w8\n\n\0\n\n嘛，不勉强说一定要投，不过如果可以的话请投票\n\n\0\s5\1\s2\_s拜托了。\_s
0x6FB44,82,code,\0\s[20]啊……\w8\w8\w8\n\s5说起来，昨天多谢支援了！\w8\w8
0x6FBA0,25,code,\1\s0谢了啊。\w8\w8
0x6FBC4,83,code,\0\s0\n\n……\w8\w8虽然也没做什么特别的事，\w8\n但总觉得好累……\w8\w8\w8
0x6FC20,185,code,\1\n\n……\w8\w8嘛，是祭典嘛。\w8\w8\w8\w8\0\s0\n\n嗯。\w8\w8\n\s5好，今天起恢复正常营业。\w8\w8\w8\1\s0\n\n……\w8\w8还有第二轮呢。\w8\w8\0\n\n……\w8\w8诶？
0x6FF7C,60,code,\1\s0是在睡觉的时候换的吗……\w8\w8\w8\w8\w8\w8\n\n\s1行吗？
0x6FFC4,66,code,\1\s0是在泡澡的时候换的吗……\w8\w8\w8\w8\w8\w8\n\n\s1行吗？
0x70010,4,code,陽子
0x70020,32,code,\0\s0\1\s0\_s鹰爪启动。\_s
0x7004C,4,code,愛理
0x7005C,26,code,\0\s0\1\s0\_s歌丸启动。\_s
0x70080,6,code,ヒルデ
0x70090,30,code,\0\s0\1\s0\_s卡拉萨瓦启动。\_s
0x700B8,6,code,あると
0x700C8,28,code,\0\s0\1\s0\_s咖喱启动。\_s
0x700F0,8,code,花ちゃん
0x70104,28,code,\0\s0\1\s0\_s乌冬面启动。\_s
0x7012C,4,code,毒子
0x7013C,50,code,\0\s0\1\s0\_s低性能机器杀手启动。\_s
0x70178,4,code,美耳
0x70188,24,code,\0\s0\1\s0\_s耳启动。\_s
0x701AC,6,code,さくら
0x701BC,22,code,\0\s0\1\s0重来……？
0x701DC,14,code,サンバーレイン
0x701F4,26,code,\0\s0\1\s0\_s别人启动。\_s
0x70218,38,code,\0\s0……\w8\w8出轨吗。\w8\w8\1\s0……
0x70248,72,code,\0\s4诶。\w8\w8要换人吗？\w8\w8\1\s0……\w8\w8别那么不情愿嘛。
0x70630,65,code,\0\s7\1\s1乌纽只有我一个就够了。\w8\w8\0\s1……\w8\w8木野薰？
0x7067C,75,code,\0\s7\1\s0\0猎人————————\w8\w8机会来了！\1\s1冷静点！
0x706D0,49,code,\0\s7\1\s0\0我才不要樋上至的画！\1\s1冷静点！
0x7070C,51,code,\0\s7\1\s0\0游戏专业学校毕业根本没用！\1\s1冷静点！
0x70748,57,code,\0\s7\1\s0\0别什么都蘸蛋黄酱吃！\1\s1冷静点！
0x7078C,67,code,\0\s0\1\s0\0我是猎杀魔物之人，所以\s7吃我\w8一拳！\1\s1冷静点！
0x707D8,63,code,\0\s7\1\s0\0只要加了年糕什么都能叫「力」吗！\1\s1冷静点！
