ID,Offset,Length,Pad,Text
91,0x64820,59,01,\0\s8\n\nいやー‥‥\w8\w8だって、マウスとかダルいし。\w8\w8
92,0x64864,40,01,\1\n\n‥‥\w8\w8いつか刺されるで。\w8\w8
93,0x64898,75,01,\0\s[20]\n\nEnter で決定、DEL で削除。\w8\w8\n\s0これくらいできるでしょっ。
94,0x64AC0,15,01,\0\s0追加完了。
95,0x64AFC,10,01,メッセージ
96,0x64B34,18,01,時間条件（* で毎）
97,0x64B74,51,01,実行ファイルのフルパス名（ファイル DnD で入力可能）
98,0x653E8,51,01,\0\s1む。\w8\w8ずいぶん数が多いね。\w8\w8\n\n\s[20]
99,0x65424,22,01,‥‥\w8\w8っと。\w8\w8
100,0x65458,10,01,\n\nだよ。
101,0x65480,12,01,面体サイコロ
102,0x65498,24,01,つ‥‥\w8\w8っと。\w8\w8
103,0x65690,179,01,\0\s0いわゆるダイス‥‥\w8\w8だね。\w8\w8\1\s0ダイスやね。\w8\w8\0\n\n基本的にエディットボックスにダイス式を入れて、Enter するだけ。\w8\w8\n\n2d6+10 とか、足し算引き算もできるよ。
104,0x688E0,38,01,"\![leave,passivemode]\0\s0設定完了っ。"
105,0x68A1C,257,01,"\0\s0一つだけ注意を。\w8\w8\n\nWin9x はデスクトップへの透明度付き描画能力が欠落しているから、\w8\_b[correctimage.png,20,78]\w8\n\n\n\n\n\n\nこんな風に綺麗には、出ません。\w8\w8\n\nこれはもうしょうがないので、諦めてね。\w8\w8\1\s0見えるだけマシだと思ってや。"
106,0x6A98C,22,01,ネトゲの作法を教え込む
107,0x6A9AC,20,01,はあ (*´Д｀*) はあ
108,0x6A9CC,36,01,スクウェアのゲームを得意げに批判する
109,0x6A9FC,10,01,新機動戦記
110,0x6AA10,58,01,「リアルでダメな奴はネットでもダメ」とか今さらな説教をする
111,0x6AA54,46,01,マイクロソフトに XBox の売り方について説教する
112,0x6AA8C,22,01,ナウなヤングにバカ受け
113,0x6AAAC,20,01,はあ (*゜Д゜*) はあ
114,0x6AAEC,14,01,インターネット
115,0x6AB28,14,01,エクスプローラ
116,0x6AB40,24,01,小林カツ代エクスプローラ
117,0x6AB64,25,01,インターネットかゆい うま
118,0x6AB88,84,01,レスをつける場合に、レスをつけられた人がどのように思うか、考える余裕を持ちましょう。
119,0x6ABE8,85,01,公共の場として提供しているBBSにおいて、自分の発言に責任をもてない方の発言は迷惑です。
120,0x6AC48,28,01,最近のノービスはマナー悪い。
121,0x6AC70,40,01,サーバーとの接続がキャンセルされました。
122,0x6ACA4,34,01,βだからイヤならやらなければいい。
123,0x6ACD0,24,01,βだから仕方ありません。
124,0x6ACF4,44,01,マナー違反を注意したら逆に暴言吐かれました。
125,0x6AD2C,90,01,韓国鯖で、ノーマナー行為に対しての罰則強化するそうなので、日本鯖でもその可能性があります。
126,0x6AD90,26,01,外人さんマナー悪いですね。
127,0x6ADB4,47,01,フェイヨンDだと悪質ルーターが多いみたいですし。
128,0x6ADEC,82,01,これから始める人も移住してくる人も他人に迷惑な行為は止めて楽しくプレイしましょう〜
129,0x6AE48,30,01,増えるのはルーターばかり、とｗ
130,0x6AE70,126,01,ゴレムとタイマン中のシーフの私、そこに乱入するノービス君、何か言うのも面倒なんで落ちちゃった☆またお姉さんのとこから出直しな♪
131,0x6AEF8,94,01,死んでも死んでも何度もやってきて、悪質なルートをしていくので、ちょっとストーカーしてみましたｗ
132,0x6AF60,64,01,ルートは立証が難しいので重力に言いにくいのです。どうしたものか。
133,0x6AFAC,125,01,PK って現実世界で言う結局は人殺しじゃないですか。いくらゲームの世界だとしても、人としてあまりやって良い行動だとは思いません。
134,0x6B034,82,01,それが板を汚す行為につながるということであるならば、書き込みを控えようと思います。
135,0x6B090,124,01,それらの行為を受けた際はSSと共にメールを送ってください。ある程度苦情がたまった時点でその方への忠告〜アカウント廃止を行います
136,0x6B118,42,01,悪口を言うのはいけません！最低の行為です！
137,0x6B14C,102,01,あなたがネットワークゲームの全くの初心者であれば、マナーについていろいろ勉強する良い機会だと思います。
138,0x6B1BC,64,01,良いマナーの人と一緒に行動すると良いマナーも自然と身につきます。
139,0x6B208,56,01,いくらβだとしてもユーザーまかせにするのはどうかと思う。
140,0x6B24C,92,01,そもそも議論する意義が見出せませんな。過去にも散々この手の議題は出ましたが結論はでてません。
141,0x6B2B4,94,01,こんな所に書くよりも、署名でも集めて「ルートモンスター廃止」を重力社に要請した方がイイですよ。
142,0x6B31C,272,01,掲示板に入る前にちゃんと注意書き見てますか？個人に対しての中傷、暴言、差別的な発言は禁止されています。人の間違いを何故いちいち棘のある言葉で批判するのですか？ここは議論をする場所であって仮面をつけて人を中傷しあう場ではありません。場の雰囲気を悪くしないようにして下さいね。
143,0x6B438,137,01,溜め込み厨房とか言ってる人。2chに帰ってください。ここは貴方の来る場所じゃありません。ここに来るならこのＢＢＳに応じた発言をお願いします。
144,0x6B4CC,40,01,同意の無い援護・共闘は、全て横殴りです。
145,0x6B500,110,01,横殴り反対派の人もここに書いたりする暇があるのならその貴重な時間で次のモンスターを探す方が早いとは思うのですが
146,0x6B578,87,01,本人同士の同意のない援護/共闘は、すべて横殴り行為に値するんですよー。等忠告しています。
147,0x6B5D8,78,01,くれくれ星人やＦＤ等に横殴り＆ルートだけで来ているノービスが増えてきています。
148,0x6B630,82,01,初心者だからと言って甘やかすな、とは言いませんが最低限のマナーを守ってほしいです。
149,0x6B68C,134,01,それと、横殴りとかルートを未だに禁止じゃないから、罰則が規定されていないから、やっても良いと言ってる人、あなたはMMORPGに向いてません。
150,0x6B71C,102,01,似たようなスレ立ってんだろ？ちゃんと見ろよバカが…。言葉汚くてすまんが最近こういう頭の悪いヤツ多すぎ。
151,0x6B78C,110,01,ボランティアで誘導してくれるのはありがたく思うのですが、まさか命令されたり脅迫されたりするとは思いませんでした
152,0x6B804,41,01,ちゃんと列に並ばないとDOSアタックするぞ！
153,0x6B838,34,01,ちゃんと列に並ばないと名前晒すぞ！
154,0x6B864,44,01,それにさっきから俺達の獲物を横取りするな！！
155,0x6B89C,26,01,オークの森にいる人達って…
156,0x6B8C0,22,01,撒き餌やってる人って…
157,0x6B8E0,26,01,町の入り口に人溜まりすぎ…
158,0x6B904,66,01,横殴り横取り等、人に迷惑を掛ける各種Nomanner行為は控えてください。
159,0x6B950,188,01,自分がまだノービスだったころゲフェンで撒き餌のことを知らずにマジの近くのアイテムを拾う気配が無いので根こそぎ拾い上げたら、「持ってくなぁ！！」って言われてもの凄く不快な気分になりました…。
160,0x6BA18,70,01,現在はテスト版だから、文句言いかねますが(お金出してるわけじゃないので)
161,0x6BA68,40,01,横殴り不可のシステムを導入して欲しいな〜
162,0x6BA9C,39,01,日本版はRagnarokOfflineにすれば万事解決
163,0x6BACC,122,01,自分が死なない為にやった行動により　死んだ方もいらっしゃるかもしれないと言う事を考えて行動していただけると有りがたいです。
164,0x6BB50,72,01,このスレの最初の文から読み直せ。ったく低脳な奴ほどマジを使いたがる．．．
165,0x6BBA4,64,01,他人を考えないで孤立職業の稼ぎ場所として勝手に決める人は最低です
166,0x6BBF0,106,01,いまβ段階なわけですから、我慢しましょう。きっと、製品版になったらもっといいダンジョンが増えると思いますよ
167,0x6BC64,51,01,私も賛成です、PK はこのゲームには不要だと思います。
168,0x6BCA0,35,01,PK できるゲームに移ってください(笑)
169,0x6BCCC,36,01,早くPK実装されて欲しいですねー。(笑)
170,0x6BCFC,76,01,私も昨日から猫耳のために狸山に出掛けたのですが、モラルの無さに閉口しました。
171,0x6BD54,143,01,確かに相手のほうからノーマナー行為をしてきたかもしれません。でも。それにノーマナーであるMPKで返すということは、「正しい」行為ではないんですよ。
172,0x6BDEC,104,01,最近思うのですが、人が増え活気付いたのはとても喜ばしい事なのですがそれに伴い妙にギスギスしていませんか？
173,0x6BE60,70,01,とにかく「人の獲物には手を出さない！！」これは最低限のマナーでしょう。
174,0x6BEBC,4,01,と私
175,0x6BECC,14,01,セックスと嘘と
176,0x6BEE4,16,01,と壊れたお父さん
177,0x6BF00,4,01,地蔵
178,0x6BF10,4,01,大名
179,0x6BF20,10,01,ソーセージ
180,0x6BF34,12,01,ビーム発射！
181,0x6BF4C,38,01,なら、さくらやでもっと安く売ってたよ。
182,0x6BF7C,4,01,の犬
183,0x6BF8C,10,01,の父です。
184,0x6BFAC,24,01,は知ったかぶるのでウザい
185,0x6BFD0,37,01,はモンスターを横取りされて仕返しにMPK
186,0x6C000,18,01,は俺の…俺の兄だ！
187,0x6C01C,63,01,は1日何時間もネトゲをやった挙句に「忙しい、時間がない」とか言う
188,0x6C064,32,01,はネトゲに生活を支配されるタイプ
189,0x6C090,19,01,はときメモ3並に安値
190,0x6C0AC,8,01,伝説巨神
191,0x6C0C0,14,01,飛天御剣流奥義
192,0x6C0D8,8,01,機動戦士
193,0x6C0EC,61,01,なんて、MS-DOS がマックをマネるために厚化粧しただけの代物だ！
194,0x6C134,28,01,ほど使いにくいものはないよ！
195,0x6C15C,42,01,なんて使う奴はマゾヒストだね。だからあれは
196,0x6C190,15,01,じゃなくて、SM-
197,0x6C1A8,10,01,ってんだ！
198,0x6C1BC,86,01,だからさ、マッキントッシュという優れたシステムがあることを知らないばかりに大勢の人間が
199,0x6C21C,82,01,で苦労しているのが二十世紀の悲劇のひとつなんだけど、藤村さんもその一人ってことさ。
200,0x6C284,69,01,」なんて大騒ぎしたけど、5年前のマッキントッシュにも追いついてないよ！
201,0x6C304,15,01,複座型突撃仕様M
202,0x6C31C,54,01,the end of genesis T.M.R evolution turbo type D 的発想
203,0x6F3E4,92,01,\0\s0ASテクノロジっていうのは、その昔 CompJapan っていうところが開発した技術で‥‥\w8\w8\n\n
204,0x6F44C,146,01,\s7なんと！\w8\w8\s5for ループで意味もなく足し算とか引き算を繰り返していると、メモリが最適化されてマシンが速くなるという、凄い技術なのです！\w8\w8
205,0x6F4E8,138,01,\1\s0‥‥\w8\w8\w8いや、ちゅーか、\w8詐欺やろ。それ。\w8\w8\0\s5\n\nうにゅうは余計なこと言わないっ！\w8\w8\n\n詳しくはこのサイトを見てね。
206,0x6F988,10,01,ユーザさん
207,0x6FA80,184,01,\0\s[20]あ‥‥\w8\w8そうか。\w8\w8\n\n\s0今日は当日だったんだね‥‥\w8\w8\1\s0当日やね。\w8\w8\w8\w8\n\n\0\n\nまあ、無理にとは言わないけど、できれば投票\n\n\0\s5\1\s2\_sよろしくっ。\_s
208,0x6FB44,82,01,\0\s[20]あ‥‥\w8\w8\w8\n\s5そういえば、昨日は応援ありがとうございましたっ！\w8\w8
209,0x6FBA0,25,01,\1\s0ありがとうな。\w8\w8
210,0x6FBC4,83,01,\0\s0\n\n‥‥\w8\w8特に色々したってわけじゃないのに、\w8\n何か疲れたよ‥‥\w8\w8\w8
211,0x6FC20,185,01,\1\n\n‥‥\w8\w8まあ、お祭りやしな。\w8\w8\w8\w8\0\s0\n\nうん。\w8\w8\n\s5じゃ、今日からは通常営業に戻りまーす。\w8\w8\w8\1\s0\n\n‥‥\w8\w82回戦もあるんやで。\w8\w8\0\n\n‥‥\w8\w8え？
212,0x6FF7C,60,01,\1\s0寝とる間に交代か‥‥\w8\w8\w8\w8\w8\w8\n\n\s1ええんか？
213,0x6FFC4,66,01,\1\s0風呂入っとる間に交代か‥‥\w8\w8\w8\w8\w8\w8\n\n\s1ええんか？
214,0x70010,4,01,陽子
215,0x70020,32,01,\0\s0\1\s0\_sわしづかみ開始。\_s
216,0x7004C,4,01,愛理
217,0x7005C,26,01,\0\s0\1\s0\_s歌丸開始。\_s
218,0x70080,6,01,ヒルデ
219,0x70090,30,01,\0\s0\1\s0\_sカラサワ開始。\_s
220,0x700B8,6,01,あると
221,0x700C8,28,01,\0\s0\1\s0\_sカレー開始。\_s
222,0x700F0,8,01,花ちゃん
223,0x70104,28,01,\0\s0\1\s0\_sうどん開始。\_s
224,0x7012C,4,01,毒子
225,0x7013C,50,01,\0\s0\1\s0\_sローパフォーマンスマシン殺し開始。\_s
226,0x70178,4,01,美耳
227,0x70188,24,01,\0\s0\1\s0\_s耳開始。\_s
228,0x701AC,6,01,さくら
229,0x701BC,22,01,\0\s0\1\s0出直し‥‥？
230,0x701DC,14,01,サンバーレイン
231,0x701F4,26,01,\0\s0\1\s0\_s別人開始。\_s
232,0x70218,38,01,\0\s0‥‥\w8\w8浮気か。\w8\w8\1\s0‥‥
233,0x70248,72,01,\0\s4えー。\w8\w8代わるの？\w8\w8\1\s0‥‥\w8\w8そんな嫌そうに言うなよ。
234,0x70630,65,01,\0\s7\1\s1うにゅうは俺一人でいい。\w8\w8\0\s1‥‥\w8\w8木野さん？
235,0x7067C,75,01,\0\s7\1\s0\0ハンターーーーーーーーーーー\w8\w8チャーンス！\1\s1落ち着けっ！
236,0x706D0,49,01,\0\s7\1\s0\0いたる絵は要らーん！\1\s1落ち着けっ！
237,0x7070C,51,01,\0\s7\1\s0\0ゲー専出って使えねー！\1\s1落ち着けっ！
238,0x70748,57,01,\0\s7\1\s0\0何でもマヨネーズで食うなっ！\1\s1落ち着けっ！
239,0x7078C,67,01,\0\s0\1\s0\0私は魔物を狩る者だから\s7パー\w8ンチ！\1\s1落ち着けっ！
240,0x707D8,63,01,\0\s7\1\s0\0もちが入れば何でも「力」なのかっ！\1\s1落ち着けっ！
241,0x70820,66,01,\0\s7\1\s0\0私はかつて、%msと呼ばれていた者だっ！\1\s1落ち着けっ！
242,0x7086C,72,01,\0\s[20]\1\s0\0売れ残る初回特典に意味はあるんでしょうか。\w8\w8\1\s1‥‥
243,0x708C0,138,01,\0\s[20]\1\s1\1\s0おかえりなさいませ、大佐。\w8\w8\0うにゅう‥‥\w8\w8私は、クワトロ大尉だ。\w8\w8\1\n\nいえ、\w4私にとっては%mz大佐です。
244,0x70954,79,01,\0\s7\1\s1\0呼ばれてない二次会に参加しようとするのはやめろー！\1\s1落ち着けっ！
245,0x709AC,53,01,\0\s7\1\s0\0サイコガンダムデカすぎ！\1\s1落ち着けっ！
246,0x709EC,86,01,\0\s7\1\s0\0やる気がない奴は帰っていい！\w8\w8\1‥‥\w8\w8頭の悪い体育教師か、お前は。
247,0x70A4C,103,01,\0\s0\1\s0\0自分の本名か本名をアレンジしたHNを使いなさるがよいでしょう。\w8\w8\1\s0‥‥\w8\w8なんだよ。
248,0x70ABC,61,01,\0\s7\1\s0\0ネタもオチもない駄話はやめろっ！\1\s1落ち着けっ！
249,0x70B04,51,01,\0\s7\1\s0\0スタッフロール長すぎ！\1\s1落ち着けっ！
250,0x70B40,65,01,\0\s7\1\s0\0エッチでなければいけないと思います！\1\s1落ち着けっ！
251,0x70B8C,99,01,\0\s7\1\s0\0OS がオペレーションシステムの略だと思ってるのはお前くらいだ！\w8新保！\1\s0落ち着けっ！
252,0x70BF8,40,01,\0\s0\1\s0\0\_s空想上の仲良し集団っ！\_s
253,0x70C2C,49,01,\0\s7\1\s0\0牛乳は噛んで飲めっ！\1\s1落ち着けっ！
254,0x70C68,47,01,\0\s7\1\s0\0豚汁食って寝ろっ！\1\s0落ち着けっ！
255,0x70CA0,88,01,\0\s7\1\s0\0インストールをインストって略すのはお前くらいだ！\w8国分寺！\1\s1落ち着けっ！
256,0x70D04,77,01,\0\s7\1\s0\0家族に隠れてギャルゲーをやるのは止めて下さいっ！\1\s1落ち着けっ！
257,0x70D5C,45,01,\0\s7\1\s0\0アタリショック！\1\s1落ち着けっ！
258,0x70D94,75,01,\0\s7\1\s0\0出来の悪さを「ドラクエらしさ」で片づけるなー！\1\s1落ち着けっ！
259,0x70DE8,65,01,\0\s0\1\s0\0生まれてごめんなさい\w8\s7パーンチ！\1\s1落ち着けっ！
260,0x70E34,59,01,\0\s7\1\s0\0エロ機能だけでもつと思うなっ！\1\s0落ち着けっ！
261,0x70E78,63,01,\0\s7\1\s0\0伝説の勇者とかはもうウンザリだっ！\1\s0落ち着けっ！
262,0x70EC0,59,01,\0\s7\1\s0\0お前はまず\w8空気を\w4読めー！\1\s1落ち着けっ！
263,0x70F04,53,01,\0\s7\1\s0\0助けてソフ倫のえらい人！\1\s1落ち着けっ！
264,0x70F44,63,01,\0\s7\1\s0\0偉い人にはそれが分からんのですよ！\1\s1落ち着けっ！
265,0x70F8C,48,01,\0\s7\1\s0\0仏像にパー\w8ンチ！\1\s1落ち着けっ！
266,0x70FC8,73,01,\0\s7\1\s0\0無理にエロシーンを作るのは止めてくださいっ！\1\s1落ち着けっ！
267,0x79D20,15,01,\s3見切れ‥‥\e
268,0x79D38,66,01,\0\s4‥‥\w8\w8なんか激しく重なってるんだけど。\w8\w8\1\s1フフフ。
269,0x79D84,14,01,\s[21]‥‥‥‥
270,0x79D9C,24,01,\s[21]‥‥\w8\w8んん‥‥
271,0x79DC0,24,01,\s[21]‥‥\w8\w8んー‥‥
272,0x79DE4,28,01,\s[21]‥‥\w8\w8ねむねむ‥‥
273,0x79E2C,77,01,\0\s[22]‥‥\w8\w8くー‥‥\w8\w8\w8\w8\b[-1]\1\s0‥‥\w8\w8よう寝る娘やね‥‥
274,0x79E84,125,01,\0\s[22]‥‥\w8\w8くー‥‥\w8\w8\w8\w8\b[-1]\1\s0‥‥\w8\w8結構疲れとるようやから、\w8\w8\n\n寝かしてやった方がええと思うで。
275,0x79F0C,127,01,\0\s[22]‥‥\w8\w8くー‥‥\w8\w8\w8\w8\b[-1]\1\s0‥‥\w8\w8かなり疲れとるようやから、\w8\w8\n\n寝かしてやった方がええと思うで。
276,0x79F94,237,01,\0\s[20]あ‥‥\w8\w8もうこんな時間か‥‥\w8\w8\w8\w8\n\n\s0じゃ、ちょっとお風呂入ってくるよ。\w8\w8\1\s0ああ。\w8\w8\n\n行ってきいや。\w8\w8\w8\0\n\nうん。\w8\w8\s5じゃあね。\w8\w8\b[-1]\s[-1]\1\b[-1]\c\w8\w8\w8\w8\w8\w8\0\s[26]\1\s3‥‥
277,0x7A0AC,142,01,\0\s[44]ただいま。\1\s1‥‥！\w8\w8\w8\w8\0\n\n‥‥\w8\w8あ。\w8\w8\s[-1]\w8\w8\w8\w8\0\n\n\s8‥‥\w8\w8\w8\w8\1\n\nわざとやってへんか、お前。
278,0x7A144,102,01,\t\0\s0ただいまっ。\w8\w8\1\s0おかえりや。\w8\w8\0\s5\n\nさっぱりしたところで、\w4心機一転頑張ろうっ！
279,0x7A1F8,76,01,\0\s8‥‥\w8\w8読めない‥‥\w8\w8\n\n対策された？\w8\w8\1\s0切ない話やね‥‥
280,0x7A250,33,01,\0\s0今日のお天気だよ。\w8\w8\n\n
281,0x7A288,58,01,\0\s8‥‥\w8\w8データ来ない‥‥\w8\w8\1\s0落ちとるんかな。
282,0x7A2F4,4,01,愛理
283,0x7A304,24,01,歌丸。ただものじゃない。
284,0x7A34C,10,01,  ユースケ
285,0x7A3A4,4,01,美耳
286,0x7A3B4,22,01,耳。ただものじゃない。
287,0x7A3D4,11,01,  くーぴー2
288,0x7A438,6,01,さくら
289,0x7A448,6,01,実家。
290,0x7A470,6,01,  すか
291,0x7A498,10,01,  川上新夜
292,0x7A4AC,12,01,さくらみかげ
293,0x7A4FC,18,01,基本的な操作の説明
294,0x7A528,16,01,キャッシュカード
295,0x7A544,12,01,さくらカード
296,0x7A55C,16,01,アドベンドカード
297,0x7A578,16,01,クレジットカード
298,0x7A594,22,01,ゴールドポイントカード
299,0x7A5B4,14,01,さくらやカード
300,0x7A5CC,14,01,でじこやカード
301,0x7A5F8,20,01,ちょっとどいてもらう
302,0x7A62C,40,01,MATERIA の構成ウインドウを常に手前に表示
303,0x7A674,8,01,やめとく
304,0x7A6A4,22,01,ゴーストの使用率グラフ
305,0x7A704,22,01,バルーンの使用率グラフ
306,0x7A73C,18,01,ぬるく用事を伝える
307,0x7A768,12,01,用事を伝える
308,0x7A798,12,01,さくらの設定
309,0x7A7C0,16,01,検索エンジン使用
310,0x7A7EC,14,01,今日明日の天気
311,0x7A814,14,01,さくらのビーム
312,0x7A82C,14,01,さくらとゲーム
313,0x7A85C,14,01,おすすめサイト
314,0x7A888,8,01,ねとわく
315,0x7A8AC,22,01,信（中国ではこうかく）
316,0x7A8E8,10,01,本体の設定
317,0x7A914,24,01,他のゴーストに切り替える
318,0x7A950,24,01,さくらのシェルを変更する
319,0x7A98C,20,01,バルーンを切り替える
320,0x7A9CC,24,01,ヘッドラインセンサの様子
321,0x7AA00,4,01,終了
322,0x7AA10,8,01,お役立ち
323,0x7AA24,8,01,おそらく
324,0x7AA38,10,01,さくらナビ
325,0x7AA4C,12,01,さくらをナビ
326,0x7AA78,13,01,Moon を Phase
327,0x7AAA8,34,01,敵に見つかるので戦闘中は使いません
328,0x7AAFC,8,01,さいもえ
329,0x7AB10,16,01,さくらタイピング
330,0x7AB2C,16,01,タイピングゲーム
331,0x7AB48,12,01,さくらクイズ
332,0x7AB60,12,01,クイズゲーム
333,0x7AB78,14,01,さくら視力検査
334,0x7AB90,6,01,‥‥？
335,0x7ABB0,11,01,Todo リスト
336,0x7ABD4,13,01,Notify リスト
337,0x7ABEC,6,01,ダイス
338,0x7AC14,7,01,熱湯3分
339,0x7AC30,7,01,熱湯4分
340,0x7AC4C,7,01,熱湯5分
341,0x7AC5C,14,01,グロンギ語変換
342,0x7AC74,20,01,セミファイナルゲーム
343,0x7AC94,10,01,重力語変換
344,0x7ACA8,26,01,言葉遣いに気をつけましょう
345,0x7ACCC,36,01,βテスターとしての自覚を持ちましょう
346,0x7ACFC,26,01,他人の気持ちを考えましょう
347,0x7AD20,34,01,そのプレイスタイルはよくありません
348,0x7AD4C,13,01,CompJapan機能
349,0x7AD64,4,01,詐欺
350,0x7AD74,16,01,ごみ箱を空にする
351,0x7AD9C,30,01,「最近使ったファイル」をクリア
352,0x7ADC4,10,01,ぬるい機能
353,0x7ADD8,26,01,アイコンキャッシュをクリア
354,0x7ADFC,26,01,フォントキャッシュをクリア
355,0x7AE20,18,01,メモリリフレッシュ
356,0x7AE48,10,01,時計合わせ
357,0x7AE5C,26,01,時計を正しい時刻に合わせる
358,0x7AE80,12,01,使用率グラフ
359,0x7AE98,38,01,ゴースト／シェル／バルーンの使用率分布
360,0x7AEC8,21,01,ゴースト使用率 - 合計
361,0x7AEE8,38,01,ゴーストの使用率分布（全プロセス合計）
362,0x7AF18,21,01,ゴースト使用率 - 個別
363,0x7AF38,20,01,ゴーストの使用率分布
364,0x7AF58,14,01,バルーン使用率
365,0x7AF70,20,01,バルーンの使用率分布
366,0x7AFAC,57,01,"\![enter,passivemode]\0\s5視力検査コー\w8ナー。\w8\w8\n\n"
367,0x7AFF0,75,01,\s0今から順番に図形を出していくから、どの方向が抜けてるかを答えてね。\w8\w8
368,0x7B044,27,01,\1\s0普通の視力検査やな。\x
369,0x7B068,57,01,"\c\s5じゃ、行くよ〜。\w8\w8\![raise,OnEyesightgameNext,0]"
370,0x7B0C8,51,01,"はいっ。\![open,inputbox,OnEyesightgameInput,15000]"
371,0x7B12C,4,01,みぎ
372,0x7B13C,219,01,"\0\s5正解っ。\w8\w8\n\n‥‥\w8\w8\w8\s[20]ということで判定結果は‥‥\w8\w8\n\n\s5大丈夫！\w8見えてます！\w8\w8\1\s0‥‥\w8\w8\w8そんだけの機能かヨ、これ。\w8\w8\0\n\nうにゅうは余計なこと言わないっ！\![leave,passivemode]"
373,0x7B220,61,01,"\0\s8‥‥\w8\w8\1\s0‥‥\w8\w8\0\n\n‥‥\![leave,passivemode]"
374,0x7B27C,23,01,\0\s5正解っ。\w8\w8\n\n
