Region,Offset,Outer,Inner,KeyLen,Text
1,0x3B54,26,2,8,释放
1,0x3B80,22,1,6,樱
1,0x3B94,22,2,4,德光
1,0x3BC0,30,1,15,"黑社会,假哭"
1,0x3BDC,22,2,6,八桥饼
1,0x3C00,26,1,9,"沙纪,京都"
1,0x3C18,26,2,8,岩男润子
1,0x3C48,38,1,20,"人妻,知世,-,企鹅"
1,0x3C6C,46,2,30,把路人咔嚓咔嚓砍倒
1,0x3CAC,18,1,2,舞
1,0x3CBC,34,2,18,数码升级
1,0x3CF0,26,1,8,数码宝贝
1,0x3D08,26,2,8,野田顺子
1,0x3D38,26,1,8,阳之下光
1,0x3D50,26,2,8,阳之下光
1,0x3D80,22,2,4,包茎
1,0x3DA8,22,2,6,盖茨
1,0x3DD4,74,1,57,"微软,黑社会,偷偷发送用户信息,送枪手"
1,0x3E1C,22,2,6,科乐美
1,0x3E40,86,1,71,"国府田麻理子,丹下樱,烦人,黑社会,什么都注册商标,偷偷发送用户信息"
1,0x3E94,30,2,14,钢铁天使胡桃
1,0x3EC8,126,1,111,"钢铁天使,胡桃,沙纪,卡琳卡,变态色狼,也有从接吻开始的奇迹对吧,也有从接吻开始的奇迹对吧,色情"
1,0x3F44,22,2,6,丹下樱
1,0x3F70,50,1,33,"治疗师,终极疗法"
1,0x3FA0,26,2,8,有田芳生
1,0x3FD0,26,2,10,Boys Be...
1,0x3FFC,118,1,102,"胡桃,沙纪,卡琳卡,变态色狼,也有从接吻开始的奇迹对吧,也有从接吻开始的奇迹对吧,色情"
1,0x4070,22,2,6,黑社会
1,0x40A0,58,1,43,"德光,科乐美,微软,NTT,NEC,锅常"
1,0x40D8,22,2,6,枪乱射
1,0x4100,26,1,10,美国人
1,0x4118,22,2,6,飞行石
1,0x413C,26,1,8,天空之城
1,0x4154,26,2,8,大阪工场
1,0x417C,30,1,14,金黄色葡萄球菌
1,0x4198,30,2,15,伪Pia胡萝卜
1,0x41C4,18,2,3,MSX
1,0x41E4,22,2,6,X68030
1,0x41F8,22,2,7,=X68000
1,0x420C,26,2,8,FM-Towns
1,0x4234,22,1,4,FM-7
1,0x4248,18,2,2,X1
1,0x4268,22,2,4,FM-7
1,0x428C,26,1,8,FM-Towns
1,0x42A4,22,2,6,睡眠药
1,0x42C8,26,2,10,吸毒成瘾者
1,0x42F0,26,1,10,美国人
1,0x4308,22,2,6,游行队
1,0x432C,30,2,12,洞窟探险
1,0x4358,30,1,15,"任天堂,虚弱体质"
1,0x4374,34,2,16,救难直升机
1,0x43A4,30,1,15,"麦克风,HUDSON"
1,0x43C0,26,2,8,里见之谜
1,0x43E8,26,1,8,垃圾游戏
1,0x4400,34,2,16,漂浮枪手SASA
1,0x4430,26,1,8,ASCII
1,0x4448,34,2,16,菩故须苛战争
1,0x4478,34,1,17,"ASCII,垃圾游戏"
1,0x4498,26,2,10,古畑任三郎
1,0x44C8,26,1,10,今泉慎太郎
1,0x44E0,26,2,10,今泉慎太郎
1,0x4510,30,1,15,"古畑任三郎,秃头"
1,0x452C,30,2,14,机界三十一原种
1,0x4558,42,2,26,偏时点火系统
1,0x4590,30,1,12,蓝瑟EVO军团
1,0x45AC,26,2,10,横山诺克
1,0x45DC,26,2,8,田岛阳子
1,0x460C,26,2,10,沉没的船
1,0x4638,38,1,20,"雪印,世嘉,田代政"
1,0x465C,22,2,4,世嘉
1,0x4680,122,1,105,"汤川专务,莎木,秋元康,世嘉BBS,普京,花了70亿做的垃圾游戏「莎木」,铃木裕,沉没的船,破产"
1,0x46F8,34,2,18,合金装备
1,0x4728,26,1,8,垃圾游戏
1,0x4740,38,2,20,莎木一章横须贺
1,0x4774,26,1,8,垃圾游戏
1,0x478C,26,2,8,垃圾游戏
1,0x47B8,70,1,55,"里见之谜,莎木,菩故须苛战争,合金装备"
1,0x47FC,30,2,14,冒险之书
1,0x4828,26,2,10,出木杉君
1,0x4850,34,2,18,营团地下铁日比谷线
1,0x4880,22,1,4,脱线
1,0x4894,34,2,18,萨马多利亚王子
1,0x48C4,34,1,16,勇者斗恶龙
1,0x48E4,30,2,14,剧空间职业棒球
1,0x4914,22,1,6,科乐美
1,0x4928,26,2,10,伯劳鸟摔
1,0x4950,26,2,8,安浦刑警
1,0x4980,26,1,8,情状酌量
1,0x4998,26,2,8,鲷鱼烧
1,0x49C0,26,1,11,"步,唔咕～"
1,0x49D8,22,2,4,步
1,0x4A04,82,1,65,"鲷鱼烧,-,名雪,秋子女士,-,祐一,唔咕,-,疑似天使信仰,盗窃,偷米贼"
1,0x4A54,22,2,6,唔咕～
1,0x4A80,22,1,4,步
1,0x4A94,26,2,10,钢坦克
1,0x4ABC,26,2,8,高达
1,0x4AE4,38,1,23,"加尔丹,光束步枪"
1,0x4B08,30,2,14,霹雳游侠
1,0x4B34,26,1,10,骑士财团
1,0x4B4C,30,2,12,飞狼
1,0x4B78,22,2,4,大魔
1,0x4B9C,42,1,26,喷射气流攻击
1,0x4BC4,38,2,22,魔法蘑菇
1,0x4BF8,26,2,8,花与梦
1,0x4C20,18,2,3,JCO
1,0x4C40,74,1,59,"放射能,盖格计数器,辐射泄漏,到处撒放射性物质"
1,0x4C88,26,2,10,科杰克
1,0x4CB0,22,1,4,秃头
1,0x4CC4,26,2,8,娜可露露
1,0x4CF0,158,1,142,"继母,莉姆露露,无毛,飞机场,杀人者,\,紧紧闭合,把路人咔嚓咔嚓砍倒,神威灵犀,胜利之刃,命运之轮,十四连斩"
1,0x4D8C,30,2,12,胜利之刃
1,0x4DC0,26,1,8,娜可露露
1,0x4DD8,22,2,6,初号机
1,0x4DFC,50,1,34,"AT力场,暴走,展开AT力场"
1,0x4E2C,18,2,2,栞
1,0x4E50,110,1,94,"冰淇淋,素描本,-,香里,祐一,-,世界之敌,病弱,画得烂,自杀,衰弱,病死,神威灵犀"
1,0x4EBC,26,2,8,Peopo君
1,0x4EE4,22,1,6,烦人
1,0x4EF8,26,2,8,蟹江敬三
1,0x4F20,26,2,8,石桥莲司
1,0x4F48,26,2,8,若本规夫
1,0x4F70,26,1,8,欧拉欧拉
1,0x4F88,30,2,12,大东亚共荣圈
1,0x4FB4,22,2,6,多重
1,0x4FDC,102,1,85,"来栖川电工,赛利欧,绿发机器耳,掉帧,热暴走,超频,内存泄漏,吐核心"
1,0x5040,26,2,10,夏亚专用
1,0x5068,26,2,10,夏亚少佐
1,0x5090,30,1,14,丢殖民地
1,0x50AC,26,2,10,德川埋藏金
1,0x50D4,30,2,12,山田Wink
1,0x5100,26,2,8,西部警察
1,0x5128,30,2,12,波茨坦宣言
1,0x5154,34,2,16,法国外籍兵团
1,0x5184,30,2,12,MD
1,0x51B0,22,1,4,世嘉
1,0x51C4,26,2,10,PC Engine
1,0x51EC,18,1,3,NEC
1,0x51FC,26,2,10,红白机
1,0x5224,22,1,6,任天堂
1,0x5238,26,2,8,中村主水
1,0x5260,30,1,12,从背后刺
1,0x527C,26,2,10,藤田诚
1,0x52A4,34,1,17,"欠债,从背后刺"
1,0x52C4,26,2,8,HUDSON
1,0x52EC,38,1,23,"高桥名人,2P手柄麦克风"
1,0x5310,26,2,8,高桥名人
1,0x5338,26,1,11,"胖子,16连射"
1,0x5350,18,2,3,Key
1,0x5370,38,2,20,巴尔特安德尔斯之剑
1,0x53A4,26,2,10,神奈川县警
1,0x53D0,26,2,8,爱知县警
1,0x53FC,26,1,8,误认逮捕
1,0x5414,30,2,14,冰淇淋
1,0x5440,22,1,4,雪印
1,0x5454,22,2,6,八稚女
1,0x5478,22,2,6,大蛇薙
1,0x549C,38,2,20,墨菲的鬼魂
1,0x54D0,30,2,12,极限手刀
1,0x5500,34,2,18,大武道
1,0x5530,22,2,4,藤隆
1,0x5554,34,1,16,"樱,桃矢,知世"
1,0x5574,30,2,12,利维亚斯
1,0x55A0,22,2,6,森喜朗
1,0x55C4,26,1,8,小渊惠三
1,0x55DC,26,2,8,小渊惠三
1,0x5604,38,1,20,"森喜朗,2000圆札,死人"
1,0x5628,26,2,8,加尔丹
1,0x5650,34,1,17,"高达,山寨货"
1,0x5670,26,2,8,高桥克典
1,0x5698,118,1,103,"金属球棒,烦人,举动不审,非国民,粪虫,感觉会被在推荐信上写「没有协调性」,无样,瓶子攻击者"
1,0x570C,26,2,8,织田裕二
1,0x5734,30,1,15,"烦人,举动不审"
1,0x5750,26,2,8,伊东四朗
1,0x5778,22,2,4,彻子
1,0x579C,26,2,8,泉品子
1,0x57C4,22,2,4,美乃
1,0x57E8,26,2,8,高桥凉介
1,0x5810,18,2,3,NHK
1,0x5830,22,1,6,黑社会
1,0x5844,38,2,20,天国星坠
1,0x5878,30,2,12,大江户搜查网
1,0x58A4,34,2,16,Virtual Boy
1,0x58D4,26,2,10,Gachapin
1,0x58FC,22,1,6,Mukku
1,0x5910,22,2,6,Mukku
1,0x5934,26,1,10,Gachapin
1,0x594C,26,2,8,佐马洪
1,0x5974,22,2,6,埼京线
1,0x5998,26,2,10,京滨东北线
1,0x59C0,26,2,8,大桥巨泉
1,0x59E8,30,1,15,"原平,肥猪"
1,0x5A04,18,2,3,MMR
1,0x5A24,26,1,8,木林
1,0x5A3C,26,2,8,木林
1,0x5A64,26,1,10,"MMR,眼镜"
1,0x5A7C,30,2,12,一般保护违规
1,0x5AA8,38,2,20,棱镜反射器
1,0x5ADC,26,1,8,艾米利奥
1,0x5AF4,30,2,12,AT力场
1,0x5B20,30,1,15,"初号机,碇真嗣"
1,0x5B3C,38,2,20,命运之轮
1,0x5B78,26,1,11,"娜可露露,舞"
1,0x5B90,42,2,24,尼伯龙根=瓦雷斯缇
1,0x5BD0,22,2,6,竹轮
1,0x5BF4,34,1,17,"自慰,小林亚星"
1,0x5C14,22,2,6,自白剂
1,0x5C38,22,1,6,金正日
1,0x5C4C,34,2,18,三重灾祸
1,0x5C84,38,2,20,灭绝切割
1,0x5CC0,26,1,8,卢卡尔
1,0x5CD8,26,2,10,格里菲斯
1,0x5D00,38,1,23,"神之手,石松葛兹"
1,0x5D24,22,2,6,赛利欧
1,0x5D48,90,1,74,"来栖川电工,多重,掉帧,热暴走,超频,内存泄漏,吐核心"
1,0x5DA0,26,2,10,来栖川电工
1,0x5DC8,30,1,13,"多重,赛利欧"
1,0x5DE4,30,2,12,神之手
1,0x5E10,26,2,8,碇真嗣
1,0x5E38,82,1,67,"AT力场,自慰,自我厌恶,精神污染,脉冲逆流,展开AT力场"
1,0x5E88,26,2,8,自慰
1,0x5EB4,22,1,6,竹轮
1,0x5EC8,22,2,6,数码子
1,0x5EEC,134,1,117,"布子,铃铛猫娘设定上是10岁，本公司认为铃铛猫娘不适合作性表现·描写"
1,0x5F70,22,2,6,布子
1,0x5F94,54,1,36,"烤鱼干,数码子,美好的Something"
1,0x5FC8,22,2,6,雏子
1,0x5FEC,22,1,6,数码子
1,0x6000,22,2,4,盖玛
1,0x6024,22,2,6,兔田
1,0x6048,22,1,6,数码子
1,0x605C,26,2,8,木之本樱
1,0x6074,22,2,7,=樱
1,0x6088,26,2,10,大道寺知世
1,0x60A0,22,2,5,=知世
1,0x60B4,22,2,4,托罗
1,0x60D8,26,1,9,"猫耳,SCEI"
1,0x60F0,22,2,4,SCEI
1,0x6114,18,2,3,AMD
1,0x6134,26,2,10,真珠湾攻击
1,0x6168,30,2,14,杰尼斯·喜多川
1,0x6194,22,1,4,SMAP
1,0x61A8,26,2,8,爱丽丝
1,0x61D0,30,1,15,"古代种,新城沙织"
1,0x61EC,22,2,6,古代种
1,0x6210,38,1,21,"爱丽丝,古代索德人"
1,0x6234,26,2,8,新城沙织
1,0x624C,22,2,5,=沙织
1,0x6260,22,2,4,Leaf
1,0x6284,30,1,14,"雫,痕,To Heart"
1,0x62A0,34,2,16,铜头锄
1,0x62D0,22,1,4,脆
1,0x62E4,26,2,8,川澄绫子
1,0x630C,30,1,15,"神岸明,香里"
1,0x6328,26,2,10,神岸明
1,0x6350,70,1,55,"浩之酱,青梅竹马,-,多重,-,川澄绫子,-,狗,可爱"
1,0x6394,26,2,8,堀江由衣
1,0x63BC,42,1,26,"多重,步,-,由依字体"
1,0x63E4,26,2,10,原平
1,0x640C,26,1,8,大桥巨泉
1,0x6424,22,2,7,世嘉BBS
1,0x6448,94,1,76,"世嘉,厨房,死小白,烦人,用半角假名和机种依存文字发帖,煽动,死小白的想法"
1,0x64A4,26,2,8,巴寇拉
1,0x64CC,26,1,8,泽维乌斯
1,0x64E4,26,2,8,泽维乌斯
1,0x650C,26,1,8,巴寇拉
1,0x6524,34,2,16,超级赛亚人
1,0x6554,38,2,20,结果还是南极大冒险
1,0x6588,30,1,15,"企鹅,科乐美"
1,0x65A4,22,2,6,Ecoco
1,0x65C8,34,1,17,"企鹅,东北电力"
1,0x65E8,26,2,10,基斯蒂丝
1,0x6610,30,1,13,"臭气,莉诺雅"
1,0x662C,26,2,8,秋竹城
1,0x6654,22,2,4,名雪
1,0x6678,146,1,128,"草莓圣代,大眼蛙,猫耳,-,国府田麻理子,-,秋子女士,步,祐一,SMAP中森君的立场,演艺界中肯特·德里科特的立场"
1,0x6708,22,2,4,猫耳
1,0x672C,54,1,38,"斯比奈鲁,托罗,名雪,猫猫子,心血来潮"
1,0x6760,30,2,12,黑盖玛
1,0x678C,26,2,8,秋子女士
1,0x67B4,82,1,66,"谜之果酱,-,名雪,步,-,皆口裕子,邪眼发动,觉醒杀意的波动,胁迫"
1,0x6804,26,2,8,谜之果酱
1,0x682C,26,1,8,秋子女士
1,0x6844,22,2,6,巨神兵
1,0x6868,42,1,26,"炮艇,滑翔翼,巨神兵"
1,0x6890,22,2,4,厨房
1,0x68B8,26,2,8,吉翁号
1,0x68E0,30,1,15,"高达,夏亚"
1,0x68FC,22,2,6,FM音源
1,0x6920,26,2,8,小林亚星
1,0x6948,42,1,25,"JASRAC,肥猪,烦人,抄袭"
1,0x6970,22,2,6,JASRAC
1,0x6994,26,1,8,小林亚星
1,0x69AC,26,2,8,艾尔库
1,0x69D4,26,2,8,继母
1,0x69FC,30,1,13,"鸟,娜可露露"
1,0x6A18,26,2,8,卢卡尔
1,0x6A40,50,1,35,"灭绝切割,天堂之门"
1,0x6A70,26,2,8,寺田先生
1,0x6A98,50,1,33,"恋童癖,利佳,色情,插入小学生的阴道"
1,0x6AC8,22,2,4,利佳
1,0x6AEC,138,1,122,"小学生,樱,知世,-,寺田先生,-,阴道,小学生的阴道,小学生的阴道口,可爱,无毛,飞机场,-,色情,紧紧闭合,插入小学生的阴道"
1,0x6B74,22,2,4,煽动
1,0x6B88,22,2,5,=厨房
1,0x6B9C,22,2,4,自慰
1,0x6BB0,26,2,9,=自慰
1,0x6BC8,22,2,6,内射
1,0x6BF0,130,1,114,"小学生,中学生,阴道口,小学生的阴道口,幼女全裸尸体,附着在衣服上的体液,从体内检测出的体液,擦擦,插入小学生的阴道"
1,0x6C70,26,2,10,可罗酱
1,0x6C88,26,2,11,=刻耳珀诺斯
1,0x6CA0,26,2,8,斯比
1,0x6CB8,26,2,9,=斯比奈鲁
1,0x6CD0,26,2,8,斯比奈鲁
1,0x6CF8,26,1,11,"猫耳,点心"
1,0x6D10,26,2,8,心血来潮
1,0x6D38,22,1,4,猫耳
1,0x6D4C,34,2,16,果糖葡萄糖液糖
1,0x6D7C,30,2,14,草莓圣代
1,0x6DA8,22,1,4,名雪
1,0x6DBC,18,2,2,舞
1,0x6DDC,114,1,97,"纳豆,-,佐祐理,祐一,把路人咔嚓咔嚓砍倒,劈砍,命运之轮,九头龙闪,天翔龙闪"
1,0x6E4C,22,2,6,肉包
1,0x6E70,26,2,10,浩之酱
1,0x6E98,58,1,40,"神岸明,多重,因为女人毁掉人生的类型"
1,0x6ED0,22,2,6,龙猫
1,0x6EF4,46,1,30,"猫巴士,灰尘精灵,恋童癖"
1,0x6F20,26,2,8,猫巴士
1,0x6F48,50,1,33,"猫耳,龙猫,灰尘精灵,恋童癖"
1,0x6F78,34,2,16,灰尘精灵
1,0x6FA8,30,1,15,"龙猫,猫巴士"
1,0x6FC4,22,2,6,秋元康
1,0x6FE8,26,1,9,"世嘉,肥猪"
1,0x7000,26,2,8,民明书房
1,0x7028,26,2,8,禁治产者
1,0x7050,22,2,4,AE86
1,0x7074,26,2,10,超时空要塞
1,0x70A0,26,2,8,大眼蛙
1,0x70C8,22,1,4,名雪
1,0x70DC,22,2,6,金正日
1,0x7100,22,1,6,自白剂
1,0x7114,34,2,18,伊斯兰原教旨主义者
1,0x7144,34,2,16,H.P.洛夫克拉夫特
1,0x7174,30,2,14,网络偶像
1,0x71A0,22,1,4,丑女
1,0x71B4,18,2,3,Z80
1,0x71D4,34,2,16,夏克蒂帕特
1,0x7208,30,2,12,角田☆博
1,0x7234,26,2,10,活杀化石冲
1,0x7264,26,2,8,泼水论
1,0x728C,26,1,8,有田芳生
1,0x72A4,26,2,10,道场六三郎
1,0x72CC,26,2,8,虚弱体质
1,0x72F4,30,1,12,洞窟探险
1,0x7310,30,2,14,丢殖民地
1,0x7340,22,1,6,夏亚
1,0x7354,26,2,8,假哭
1,0x737C,22,1,4,德光
1,0x7390,26,2,8,ASCII
1,0x73B8,50,1,33,"漂浮枪手SASA,菩故须苛战争"
1,0x73E8,22,2,4,尺良
1,0x740C,26,2,8,腌萝卜
1,0x7434,30,2,12,神威灵犀
1,0x7468,26,1,11,"娜可露露,栞"
1,0x7480,26,2,8,步步
1,0x7498,22,2,5,=步
1,0x74AC,26,2,8,飞机场
1,0x74D8,74,1,59,"樱,知世,利佳,娜可露露,莉姆露露,-,小学生,小学生的阴道,贵重"
1,0x7520,26,2,8,艾米利奥
1,0x7548,50,1,33,"棱镜反射器,疑似天使信仰"
1,0x7578,22,2,6,中学生
1,0x759C,62,1,44,"阴道,-,美咲千,小,内射,放进拿出"
1,0x75D8,34,2,18,盖格计数器
1,0x7608,22,2,6,放射能
1,0x7630,26,1,8,东北电力
1,0x7648,34,2,16,线框
1,0x7678,22,2,6,色情
1,0x769C,38,1,20,"赤松健,-,樱,知世"
1,0x76C0,22,2,6,杀人者
1,0x76E4,42,1,26,"娜可露露,-,石松葛兹,福留"
1,0x770C,22,2,4,病弱
1,0x7730,26,1,9,"栞,乃绘美"
1,0x7748,26,2,8,东北电力
1,0x7770,46,1,28,"JCO,放射能,Ecoco,辐射泄漏"
1,0x779C,26,2,8,企鹅
1,0x77C4,50,1,33,"Linux,结果还是南极大冒险,Ecoco"
1,0x77F4,22,2,4,死人
1,0x781C,46,1,28,"莉诺雅,小渊惠三,肌肉北村"
1,0x7848,22,2,6,16连射
1,0x7874,26,1,8,高桥名人
1,0x788C,30,2,14,紧紧闭合
1,0x78B8,58,1,41,"樱,知世,利佳,娜可露露,-,小学生,中学生"
1,0x78F0,22,2,4,人妻
1,0x7914,26,1,8,岩男润子
1,0x792C,22,2,6,普京
1,0x7950,30,1,13,"山寨货,世嘉"
1,0x796C,26,2,10,治疗师
1,0x7994,22,1,6,丹下樱
1,0x79A8,22,2,6,臭气
1,0x79CC,26,1,10,基斯蒂丝
1,0x79E4,22,2,4,俺
1,0x7A0C,26,2,8,欧拉欧拉
1,0x7A24,22,2,5,=欧拉
1,0x7A38,30,2,14,木之本樱抱枕
1,0x7A64,26,1,11,"樱,知世"
1,0x7A7C,34,2,16,米诺夫斯基粒子
1,0x7AAC,38,2,20,散布米诺夫斯基粒子
1,0x7AE4,22,1,6,夏亚
1,0x7AF8,22,2,6,铃木裕
1,0x7B1C,126,1,109,"花了70亿做的垃圾游戏「莎木」,世嘉,花70亿做个垃圾游戏,前作卖得不好还扬言要做续作"
1,0x7B98,26,2,8,汤川专务
1,0x7BC0,122,1,106,"汤川专务,莎木,Dreamcast,秋元康,世嘉BBS,普京,花了70亿做的垃圾游戏「莎木」,铃木裕"
1,0x7C38,30,2,12,艾利欧君
1,0x7C64,34,1,17,"斯比奈鲁,释放"
1,0x7C84,22,2,6,塔摩利
1,0x7CA8,30,1,12,Koji富田
1,0x7CC4,26,2,8,织田无道
1,0x7CEC,34,2,16,搬家的堺
1,0x7D1C,34,2,18,夏克蒂=卡琳
1,0x7D4C,34,1,16,天使光环
1,0x7D6C,26,2,8,邪眼发动
1,0x7D94,26,2,10,椎名碧流
1,0x7DBC,26,2,8,擦擦
1,0x7DEC,86,1,70,"恋童癖,小学生,中学生,-,樱,知世,利佳,寺田先生,内射,插入小学生的阴道"
1,0x7E40,26,2,10,插双网卡
1,0x7E6C,34,2,16,天使光环
1,0x7EA4,34,1,18,夏克蒂=卡琳
1,0x7EC4,26,2,10,知世酱
1,0x7EDC,22,2,5,=知世
1,0x7EF0,26,2,8,相叶昴治
1,0x7F18,46,1,28,"利维亚斯,妮娅,自我厌恶"
1,0x7F44,22,2,4,欠债
1,0x7F6C,26,1,10,藤田诚
1,0x7F84,42,2,26,喷射气流攻击
1,0x7FC0,22,1,4,大魔
1,0x7FD4,22,2,6,抄袭
1,0x7FFC,30,1,15,"科乐美,小林亚星"
1,0x8018,26,2,8,月宫步
1,0x8030,22,2,5,=步
1,0x8044,26,2,8,水濑名雪
1,0x805C,22,2,5,=名雪
1,0x8070,30,2,12,水濑秋子女士
1,0x808C,26,2,9,=秋子女士
1,0x80A4,22,2,6,偷米贼
1,0x80C8,26,2,10,心动
1,0x80F0,22,2,4,美凪
1,0x8114,62,1,47,"大米,米券,凪世界,进呈,偷米贼,亲手"
1,0x8150,22,2,6,米券
1,0x8174,26,1,9,"美凪,进呈"
1,0x818C,26,2,8,远野美凪
1,0x81A4,22,2,5,=美凪
1,0x81B8,26,2,8,近亲相奸
1,0x81E4,26,2,8,脑死判定
1,0x8210,30,2,12,寿司海豹
1,0x823C,30,2,12,改名为Aleph
1,0x826C,26,2,10,七键守护神
1,0x8294,26,2,8,引入Bug
1,0x82BC,22,2,5,SOTEC
1,0x82E0,22,1,4,故障
1,0x82F4,34,2,18,迪安娜反击
1,0x8324,26,2,8,萌萌
1,0x834C,26,1,11,"樱,知世"
1,0x8364,26,2,8,死胖子
1,0x837C,22,2,5,=胖子
1,0x8390,22,2,4,佳乃
1,0x83B4,146,1,130,"薯条,流水素面,冰镇麦茶,\,把路人咔嚓咔嚓砍倒,邪眼发动,觉醒杀意的波动,空裂眼刺惊"
1,0x8444,22,2,6,薯条
1,0x8468,26,1,9,"狗,佳乃"
1,0x8480,22,2,4,自杀
1,0x84A8,22,1,7,"栞,佳乃"
1,0x84BC,26,2,8,雾岛佳乃
1,0x84D4,22,2,5,=佳乃
1,0x84E8,30,2,12,国府田麻理子
1,0x8514,62,1,44,"名雪,糟糕,冷,疼,烦人,扫兴,可恨"
1,0x8550,22,2,6,麻理姐
1,0x8564,30,2,13,=国府田麻理子
1,0x8580,38,2,22,最终融合
1,0x85B8,34,2,16,扮演医生游戏
1,0x85EC,26,2,8,一拳
1,0x8618,26,2,8,误认逮捕
1,0x8644,26,1,8,爱知县警
1,0x865C,26,2,10,骑士财团
1,0x8684,30,1,14,霹雳游侠
1,0x86A0,22,2,4,观铃
1,0x86C4,70,1,55,"浓郁粘稠蜜桃,\,衰弱,忘记一切,寻找奇怪的果汁"
1,0x8708,26,2,8,神奈延年
1,0x8730,26,2,8,光学迷彩
1,0x875C,22,1,4,香里
1,0x8770,22,2,6,佐祐理
1,0x8794,18,1,2,舞
1,0x87A4,26,2,10,仓田佐祐理
1,0x87BC,22,2,7,=佐祐理
1,0x87D0,22,2,4,沙织
1,0x87F4,42,1,24,"运动短裤,小沙织,可爱"
1,0x881C,22,2,4,瑞穗
1,0x8840,26,1,11,"狗耳,眼镜"
1,0x8858,22,2,6,琉璃子
1,0x887C,94,1,76,"毒电波,电波系,像鱼死掉一样的眼睛,波纹疾走,金黄色波纹疾走"
1,0x88D8,22,2,6,毒电波
